1, 2, 3, 4, 5
7, 7, 8, 9, 10
6, 7, 11, 12, 13
14, 15, 16, 17, 18
19, 20, 21, 0, 0

1, 2, 3, 4, 5
7, 7, 8, 9, 10
6, 7, 11, 12, 13
14, 15, 16, 17, 18
19, 20, 0, 21, 0

1, 2, 3, 4, 5
7, 7, 8, 9, 10
6, 7, 11, 12, 13
14, 15, 16, 17, 18
19, 20, 0, 0, 21

1, 2, 3, 4, 5
7, 7, 8, 9, 10
6, 7, 11, 12, 13
14, 15, 16, 17, 18
19, 0, 20, 0, 21

1, 2, 3, 4, 5
7, 7, 8, 9, 10
6, 7, 11, 12, 13
14, 0, 16, 17, 18
19, 15, 20, 0, 21

1, 2, 3, 4, 5
7, 7, 8, 9, 10
6, 7, 11, 12, 13
0, 14, 16, 17, 18
19, 15, 20, 0, 21

1, 2, 3, 4, 5
7, 7, 8, 9, 10
6, 7, 11, 12, 13
0, 14, 16, 0, 18
19, 15, 20, 17, 21

1, 2, 3, 4, 5
7, 7, 8, 9, 10
6, 7, 11, 12, 13
0, 14, 0, 16, 18
19, 15, 20, 17, 21

1, 2, 3, 4, 5
7, 7, 8, 9, 10
0, 7, 11, 12, 13
6, 14, 0, 16, 18
19, 15, 20, 17, 21

1, 2, 3, 4, 5
7, 7, 8, 9, 10
0, 7, 11, 12, 13
6, 0, 14, 16, 18
19, 15, 20, 17, 21

1, 2, 3, 4, 5
7, 7, 8, 9, 10
0, 7, 11, 12, 13
6, 15, 14, 16, 18
19, 0, 20, 17, 21

1, 2, 3, 4, 5
7, 7, 8, 9, 10
0, 7, 11, 12, 13
6, 15, 14, 16, 18
0, 19, 20, 17, 21

1, 2, 3, 4, 5
7, 7, 8, 9, 10
0, 7, 11, 12, 13
0, 15, 14, 16, 18
6, 19, 20, 17, 21

1, 2, 3, 4, 5
7, 7, 8, 9, 10
0, 7, 11, 12, 13
15, 0, 14, 16, 18
6, 19, 20, 17, 21

